name;slogan;link;telefoon;provincie;stad;address;location;kvkNumber;registrationType;bedrijfsvorm;mederwerkers;op_marktplaats;ervaring;creationDate;advert_type
Fenica;Klusbedrijf dat alles kan. Laag tarief;www.fenica.nl;0622151502;Zuid-Holland;Rotterdam;Aernt Bruunstraat 32;3067JE Rotterdam;53362683;;Eenmanszaak;1;5½ jaar;24 jaar;000022414290;vakman
Jekastenopmaat;kwaliteit - betrouwbaar - zeer scherp geprijsd !!;<empty>;0624901719;Zuid-Holland;Heerjansdam;Dorpsstraat 10;2995XH Heerjansdam;24331469;;Eenmanszaak;1;2 jaar;23 jaar;000000659843;vakman
Floreat Hoveniers;Wij helpen u graag!;www.floreathoveniers.nl;06-22950943;Zuid-Holland;Schoonhoven;Knotwilgenstraat 68;2871RC Schoonhoven;58920757;;Eenmanszaak;3;3½ jaar;8 jaar;000028246241;vakman
Autobedrijf Paternoster B.V.;Dealer kwaliteit voor betaalbare prijzen!;www.autopaternoster.nl;010-4853733;Zuid-Holland;Rotterdam;Stolwijkstraat 37;3079DN Rotterdam;24246922;;BV;5;8 jaar;41 jaar;000019544227;vakman
M.A.J. Kraan Ontwerpbureau;Betaalbaar, betrokken & meedenkend bouwkundig advies!;www.bureaukraan.nl;010-4421377;Zuid-Holland;Vlaardingen;Landstraat 40;3131CE Vlaardingen;24370466;;Eenmanszaak;1;7½ jaar;32 jaar;000009993266;vakman
Wood-Beheer;Top prijs/kwaliteit;www.brabantparket.nl;0416379499;Noord-Brabant;Drunen;Albert Einsteinweg 29;5151DK Drunen;17135929;;Eenmanszaak;1;3 jaar;25 jaar;000003224759;vakman
Taxibedrijf Ambiance;Gegarandeerd de goedkoopste in de regio Den Haag.;www.bergingsbedrijflaak.nl;0615420418;Zuid-Holland;'s-Gravenhage;Laakweg 218;2521SW 's-Gravenhage;27330747;;Eenmanszaak;1;5 jaar;14 jaar;000001100122;vakman
Taxibedrijf Ambiance;Autotransport, Autoambulance, Oprijwagen,Takelwagen,Pechhulp;www.bergingsbedrijflaak.nl;06-15420418;Zuid-Holland;'s-Gravenhage;Laakweg 218;2521SW 's-Gravenhage;27330747;;Eenmanszaak;1;5 jaar;14 jaar;000001100122;vakman
Handelsonderneming Weiden;Werkt naar uw wens!;www.kraanbedrijfweiden.nl;0623660203;Overijssel;Kloosterhaar;Kanaalweg-West 73;7691BW Bergentheim;05077754;;VOF;2;5 jaar;28 jaar;000003176061;vakman
Wo-ont woning ontruiming;Verhuiswagen + verhuizer slechts € 30,- incl. BTW.;www.deverhuisbutler.nl;0108483904;Zuid-Holland;Rotterdam;Steve Bikoplaats 10;3065EE Rotterdam;24480707;;BV;10+;8½ jaar;14 jaar;000005972981;vakman
René Buurman;Ik bekleed trappen,goedkoop en vakkundig.€160:;http://www.detrappenbekleder.nl;0629304508;Noord-Holland;Haarlem;Nagtzaamplein 19;2032TC Haarlem;34262993;;Eenmanszaak;—;9 jaar;33 jaar;000014820919;vakman
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
Eyes by Wendy;Wimperextensions one by one & Cursus Wimperextension Stylist;www.eyesbywendy.nl;06-30384299;Zuid-Holland;'s-Gravenhage;Molenstraat 15;2513BH 's-Gravenhage;57102880;;Niet van toepassing;1;2 jaar;4 jaar;000026578786;vakman
Inspiring Interiors;Uw adres voor een droominterieur/verlichting- of kleuradvies;www.inspiringinteriors.nl;0627138811;Zuid-Holland;Schiedam;Rembrandtlaan 60 B;3117VN Schiedam;55156932;;Eenmanszaak;1;2 jaar;10 jaar;000024840858;vakman
Autobedrijf H.G.A. van Klooster;Verhuur hefbruggen € 6,00 per uur;http://www.hobbyhal.nl;020-4976999;Noord-Holland;Amsterdam;Osdorperweg 945;1067SW Amsterdam;33169606;;Eenmanszaak;2;9 jaar;27 jaar;000010644504;vakman
Wo-ont woning ontruiming;Laagste Prijs Garantie Voor Uw Verhuizing! De Verhuis-Butler;www.deverhuisbutler.nl;0108483904;Zuid-Holland;Rotterdam;Steve Bikoplaats 10;3065EE Rotterdam;24480707;;BV;10+;8½ jaar;14 jaar;000005972981;vakman
Stefan Segers Fotografie;familie fotografie;http://www.familieshoot.nl;0797440047;Zuid-Holland;Zoetermeer;Javalaan 35;2721KA Zoetermeer;27186506;;Eenmanszaak;1;6½ jaar;7 jaar;000014300222;vakman
Soluti;HEEL NEDERLAND | Vanaf slechts 99 euro uw website;http://www.soluti.nl;0850020836;Zuid-Holland;Rotterdam;Smithuisstraat 61;7631GG Ootmarsum;08167750;;Eenmanszaak;8;7 jaar;8 jaar;000007516959;vakman
Pi P.R. Media;Cameraman, Editor, Fotografie;<empty>;<empty>;Limburg;Maastricht;Oranje Nassaustraat 26 -28;6411LH Heerlen;54915465;;Overig;2;8 jaar;18 jaar;000024630012;vakman
NT Onderhoud;Goedkope schilder voor al uw binnen en buiten schilderwerken;http://www.ntonderhoud.nl;0639666108;Noord-Holland;Haarlem;Wijk aan Zeeërweg 51;1972NM IJmuiden;27329793;;Eenmanszaak;2;3½ jaar;12 jaar;000013353462;vakman
de Vries Bemiddeling-Adviesburo;De schilder, de vriend van je huis.;http://www.schilderpret.nl/;0599650690;Groningen;Stadskanaal;Steenbreekstraat 40;9502AV Stadskanaal;02093095;;Eenmanszaak;—;5½ jaar;23 jaar;000002647141;vakman
DL Events;licht geluid party dj verhuur overijssel enschede twente ;http://www.dlevents.nl;0624655620;Overijssel;Enschede;Oude Deldenerweg 1;7546PP Enschede;51089548;;Eenmanszaak;2;5 jaar;13 jaar;000021178712;vakman
W Construction;„Renovatie is Innovatie!”;http://www.wconstruction.nl;0647263896;Zuid-Holland;Rijswijk;Velserstraat 12 C;2023EC Haarlem;34297923;;Overig;5;4½ jaar;13 jaar;000001736191;vakman
Siutkowski Bouwbemiddeling;Uw kunt ons bellen :06-29313829;http://www.bouwvakkersuitpolen.nl;0629313829;Zuid-Holland;Zoetermeer;Abeelstraat 14 D;2691DH 's-Gravenzande;27312056;;Eenmanszaak;8;5½ jaar;8 jaar;000003142361;vakman
Berg & Berg Montage;Kozijnen Dakkapel Aanbouw Uitbouw Opbouw Verbouwing;www.kozijntotaalservice.nl;0613610788;Gelderland;Tolkamer;Berenicestraat 8;6916BT Tolkamer;53684885;;VOF;7;3 jaar;27 jaar;000023547820;vakman
Pcrebuild;Reparatie van Apple en Windows laptops en desktops;http://pcrebuild.nl;0637357490;Noord-Holland;Haarlem;Oranjeboomstraat 148;2013WC Haarlem;53736230;;Eenmanszaak;1;7 jaar;25 jaar;000023593555;vakman
JM Renovatiebedrijf;Onze vakmensen zijn top!;http://www.jmhollandbouw.nl;0617540727;Noord-Holland;Amstelveen;Prins Bernhardstraat 9 A;2202LD Noordwijk;59231882;;—;1;3½ jaar;11 jaar;000028541588;vakman
RJVIEW;ZZP Boekhouder uit Zwolle verzorgt uw administratie;http://www.rjview.nl;06--38767107;Overijssel;Zwolle;Frankhuisweg 29;8043PA Zwolle;08173097;;Eenmanszaak;1;5½ jaar;12 jaar;000015566579;vakman
Ans Schoutsen Administraties;Verwerken van administraties;http://home.hccnet.nl/j.krop/;0612267610;Noord-Holland;Amsterdam;Ben Avon 23;1060NN Amsterdam;34239289;;Eenmanszaak;1;7½ jaar;9 jaar;000009311394;vakman
A. Couperus (Auto)Handelsonderneming;Goedkope Autoverhuur niet duur & de beste bij u in de buurt!;www.couplaza.nl;0657333335;Friesland;Donkerbroek;Herenweg 9;8435WN Donkerbroek;01122389;;Eenmanszaak;—;6½ jaar;16 jaar;000004752317;vakman
Samantha's Hairstyling;al meer dan 8 jaar kapster bij u aan huis in   regio velsen;samanthashairstyling.nl;0633923225;Noord-Holland;Santpoort-Zuid;Tjalk 24;1991NC Velserbroek;34253959;;Eenmanszaak;1;6½ jaar;15 jaar;000006978339;vakman
G Kulik Klussenbedrijf;DE LOODGIETER TEGELZETTER EN STUCADOOR VOOR REGIO RANDSTAD !;<empty>;0623751935;Zuid-Holland;'s-Gravenhage;Ouverturestraat 12 N;2553VP 's-Gravenhage;55623158;;Maatschap;2;2 maanden;6 jaar;000025257668;vakman
Klusbedrijf DanielM;Poolse Klusbedrijf verbouwingen van A tot Z;<empty>;0649318256;Zuid-Holland;Gorinchem;Spoorlaan 6;4872XP Etten-Leur;20171349;;Eenmanszaak;10+;5½ jaar;13 jaar;000015714594;vakman
De Pelletkachel Boet;Levering, Installatie en Onderhoud Pelletkachels;www.pelletkachelboet.nl;0646200414;Noord-Holland;Schoorl;Tolbanstraat 2;1871BV Schoorl;55872727;;Eenmanszaak;1;1 jaar;4 jaar;000025482270;vakman
Smaragd Express;VANAF €30 EURO DOOR HEEL NEDERLAND;<empty>;0622759939;Zuid-Holland;Rotterdam;Catharina van Rennesplein 24;6952BR Dieren;09176387;;VOF;4;3 maanden;8 jaar;000015449149;vakman
Siutkowski Bouwbemiddeling;Uw kunt ons bellen :06-29313829;http://www.bouwvakkersuitpolen.nl/;0629313829;Zuid-Holland;Zoetermeer;Abeelstraat 14 D;2691DH 's-Gravenzande;27312056;;Eenmanszaak;8;5½ jaar;8 jaar;000003142361;vakman
Horsability;Zitles en rijles op locatie, 2e jaar Schooltrainer NCSAH;http://horsability.nl/;0650240481;Drenthe;Drouwenerveen;Hoofdstraat 31;9525TD Drouwenerveen;60340754;;Eenmanszaak;—;8 jaar;1 jaar;000029548462;vakman
de Grimeerstyliste;De Grimeerstyliste geeft kleur aan uw feest of evenement!;http://degrimeerstyliste.nl;06-18955733;Noord-Brabant;Asten;Berkelaar 6;5721DJ Asten;17223259;;Eenmanszaak;1;5 jaar;31 jaar;000009158731;vakman
Luketrans;Vertaler Engels en Pools. ;http://luketrans.eu;0641744951;Zuid-Holland;Leiden;Luxemburglaan 449;1966MG Heemskerk;60655240;;Eenmanszaak;1;3 jaar;4 jaar;000029832225;vakman
mr. R.N.D. Brouwer Juridisch Advies;Ondernemingsplan, juridisch of fiscaal advies nodig ??.;<empty>;06-29345877;Overijssel;Zwolle;Zwarteweg 115;8017AV Zwolle;08202812;;Eenmanszaak;1;7 jaar;21 jaar;000013738844;vakman
Huybers Motoren;HM Cabrio verhuur - Cabriolet huren - Trouwauto zelf rijden;http://www.hm-cabrioverhuur.nl;073-5477770;Noord-Brabant;Schijndel;Europalaan 91;5481JD Schijndel;16060269;;Eenmanszaak;10+;9½ jaar;57 jaar;000006769470;vakman
Handelsonderneming van Bijnen;goed verhuizen;<empty>;0625591104;Noord-Brabant;Vlijmen;Mgr van Kesselstraat 21;5251AW Vlijmen;17179249;;Eenmanszaak;2;9½ jaar;10 jaar;000012069132;vakman
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
Aarnout Bestrating;snel uw bestrating weer netjes maak snel een afspraak;http://aarnout-bestrating.nl;0629024277;Zuid-Holland;Schiedam;Leliestraat 29;3114NJ Schiedam;52655423;;Eenmanszaak;5;5½ jaar;13 jaar;000022572732;vakman
Budgetbanden & Budgetverhuur Breda;Goedkoopste busjes verhuurbedrijf van Nederland en KM VRIJ;www.budgetverhuurbreda.nl;0767851558;Noord-Brabant;Breda;Charles Petitweg 20;4847NW Teteringen;51683873;;Niet van toepassing;—;8 maanden;6 jaar;000029772877;vakman
Close-Up Afdichtingen;kitafdichtingen badkamer,dilatatievoegen;www.close-up.nu;0657347713;Noord-Brabant;Breda;St. Ignatiusstraat 257;4817KK Breda;24426876;;Eenmanszaak;2;5½ jaar;18 jaar;000007248598;vakman
Sai Thong;Tradionele Thaise lichaam- en voetmassage;www.saithong.nl;0251-215245;Noord-Holland;Beverwijk;Hendrik Mandeweg 49 B;1947HB Beverwijk;60390379;;Eenmanszaak;1;9 maanden;25 jaar;000000281123;vakman
Warmte24;Service/onderhoud en plaatsen centrale verwarming.;www.warmte24.nl;0623243304;Utrecht;Hooglanderveen;Dirk van Weelaan 1;3829CG Hooglanderveen;60650265;;Eenmanszaak;—;4 jaar;6 jaar;000029827825;vakman
Dressuurtraining Bodewes;dressuurinstructie en  training,  alle niveau's ook aan huis;www.dressuurtraining-bodewes.nl;0623688481;Gelderland;Heerde;Brandweg 4;8181SW Heerde;08218104;;Eenmanszaak;—;6½ jaar;20 jaar;000015415422;vakman
Beauty by Diana;Gespecialiseerd in nagels, handen en wimpers;www.beautybydiana.nl;0639221171;Noord-Brabant;Oirschot;de Vang 25;5688SG Oirschot;60288507;;Eenmanszaak;1;3 jaar;7 jaar;000029500834;vakman
Meubelbouw&zo;Voor al uw meubels op maat;www.meubelbouwenzo.nl;0626080646;Noord-Holland;Zaandam;Ameland 56;1506ZX Zaandam;34319827;;Eenmanszaak;—;6 jaar;19 jaar;000004327667;vakman
Persia Klussenbedrijf;Stukadoors, Schilders en Afwerkingswerk;<empty>;0644052905;Gelderland;Ede;Prinses Beatrixlaan 699;2284BB Rijswijk;09180197;;BV;4;5½ jaar;15 jaar;000003845702;vakman
Inko;Poolse vakmannen en kwaliteit stucwerk met NOA Garantie!;www.inkostuc.nl;0630689719;Limburg;Maastricht;Hogeschoorweg 266;5914CZ Venlo;14105235;;Eenmanszaak;—;6½ jaar;10 jaar;000010510052;vakman
Öz-ada Bouw;stucwerk stucadoor;<empty>;0634890218;Noord-Holland;Amsterdam;Hudsonstraat 143 2;1057SG Amsterdam;58800182;;Niet van toepassing;—;3½ jaar;15 jaar;000025443461;vakman
Stukadoorsbedrijf Meijer;Betrouwbare stucadoor nodig? spack, stucen, sierpleister,enz;<empty>;0597-333595;Groningen;Finsterwolde;Klinkerweg 106;9684AH Finsterwolde;02073541;;Eenmanszaak;1;9½ jaar;15 jaar;000006106722;vakman
Adgam;ADGAM;www.adgam.nl;0102624517;Zuid-Holland;Rotterdam;Sydneystraat 128 -130;3047BP Rotterdam;24416696;;Eenmanszaak;—;7 jaar;23 jaar;000005241553;vakman
Het Klussenhuus;voor alle klussen in en om het huis groot of klein !;www.hetklussenhuus.nl;0653798249;Gelderland;Epe;Willem Dreeslaan 239;8161ZX Epe;08077578;;Eenmanszaak;—;9 jaar;35 jaar;000000890340;vakman
Taxibedrijf Ambiance;Gegarandeerd de goedkoopste in de regio Den Haag.;www.bergingsbedrijflaak.nl;0615420418;Zuid-Holland;'s-Gravenhage;Laakweg 218;2521SW 's-Gravenhage;27330747;;Eenmanszaak;1;5 jaar;14 jaar;000001100122;vakman
Adina Massage;NADYNNA-Ontspanningsmassage in Rotterdam;<empty>;0649145663;Zuid-Holland;Rotterdam;Schalkeroord 32;3079WJ Rotterdam;59949481;;BV;1;11 maanden;1 jaar;000029191912;vakman
Schildersbedrijf Henk Postma;Vakmanschap voor betaalbare en met vetrouwde Kwaliteit;http://www.schildersbedrijfhenkpostma.nl;06-55538722;Friesland;Zwagerbosch;Spoarbuorren Noard 8;9299VD Zwagerbosch;01120667;;Eenmanszaak;—;9 jaar;30 jaar;000005847133;vakman
Boké;Uw schoonmaakbedrijf voor binnen en buiten;www.boke-schoonmaak.nl;06-22711883;Noord-Holland;Hilversum;Professor Poelsstraat 1 A;1221HP Hilversum;32094588;;Eenmanszaak;—;1 jaar;16 jaar;000012887269;vakman
<empty>;Voor bijna al uw klussen in en om het huis;<empty>;0620417528;Overijssel;Enschede;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;vakman
Well-Tec Spa en Zwembad Service;Spa service, reparatie en onderhoud..;www.well-tec.nl;0628207673;Noord-Brabant;Hapert;De Voren 29;5527HZ Hapert;17284329;;Eenmanszaak;—;2½ jaar;18 jaar;000009937862;vakman
MVG-Montage;Alles voor uw garage en bedrijfsdeur;www.mvgdeuren.nl;06-50909711;Noord-Brabant;Oosterhout;Voorstraat 1;4902PL Oosterhout;20137574;;Eenmanszaak;1;6½ jaar;7 jaar;000014667835;vakman
Van Dijk reparatieservice;reparatie witgoed;http://www.reparatie-snelservice.nl;0617862475;Overijssel;Enschede;Burgemeester Van Veenlaan 280;7543AD Enschede;08156818;;Eenmanszaak;1;9½ jaar;25 jaar;000015666158;vakman
GSM World;Xperia Z / Z1 €129,- , Xperia Z2 €149,- , Xperia Z3 €199,-;http://www.gsm-world.nl;06-13554444;Noord-Brabant;Eindhoven;Stratumsedijk 103 A;5614HP Eindhoven;17140084;;Eenmanszaak;—;7½ jaar;14 jaar;000006317847;vakman
GSM World;iPhone 4S €45,- iPhone 5 €69,- iPhone 5S €79,- iPhone 6 €229;http://www.gsm-world.nl;06-13554444;Noord-Brabant;Eindhoven;Stratumsedijk 103 A;5614HP Eindhoven;17140084;;Eenmanszaak;—;7½ jaar;14 jaar;000006317847;vakman
Holstein Verhuur B.V.;Kraan en shovelverhuur en aanneming;www.holsteinverhuur.nl;0598852302;Groningen;Zuidbroek;Spoorstraat 43;9636AS Zuidbroek;59424982;;BV;3;5½ jaar;19 jaar;000028724151;vakman
Joachim Buur Translations;Goedkoop, snel, nauwkeurig - vertalingen EN-NL en NL-EN;<empty>;0610491259;Noord-Holland;Amsterdam;Carolina MacGillavrylaan 924;1098XC Amsterdam;55284957;;Eenmanszaak;1;5 jaar;4 jaar;000024953156;vakman
Amsterdam Klussers;ALL IN;amsterdamklussers.nl;0642959565;Noord-Holland;Amsterdam;Hageland 99 - 101;1066SB Amsterdam;12046577;;VOF;4;1 jaar;20 jaar;000004496027;vakman
Harp Praktijk Wageningen;Sfeervolle achtergrond muziek, Keltisch/pop/licht klassiek;http://www.nanjabakker.com;0624708201;Gelderland;Wageningen;Oude Eekmolenweg 63;6706AN Wageningen;50339885;;Eenmanszaak;—;9½ jaar;17 jaar;000000318965;vakman
Itim Repair;Gespecialiseerd in alle type smartphones & tablets;www.itimrepair.com;0630805561;Gelderland;Winterswijk;Berberislaan 167;7101ZV Winterswijk;56387164;;Eenmanszaak;1;2 jaar;4 jaar;000025944924;vakman
HR Sound;led scherm te huur ook voor buiten met de wk;http://www.hrsound.nl;0629584282;Overijssel;Haaksbergen;Elderingweg 2;7481TJ Haaksbergen;08103643;;Eenmanszaak;3;9 jaar;20 jaar;000003453286;vakman
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
Marina Grigorowitsch;Pianodocent;<empty>;0629502303;Noord-Holland;IJmuiden;Fultonstraat 3;1973AE IJmuiden;37158788;;Eenmanszaak;1;8 jaar;14 jaar;000005666570;vakman
Van Schijndel Bos- en Boomverzorging;Voor het snoeien en rooien van bomen;www.bosenboomverzorging.nl;0641941329;Noord-Brabant;Oss;Amsteleindstraat 15;5345HA Oss;56421621;;Eenmanszaak;—;9½ jaar;6 jaar;000025977148;vakman
Ruben Photography;Fotograaf  Bruidsfotograaf  Trouwfotograaf  vanaf 399 euro;www.rubenphotography.nl;0612333442;Utrecht;Houten;Forum 28;3995ZH Houten;57881332;;Eenmanszaak;—;9 jaar;4 jaar;000027279251;vakman
Babay Loodgieters en Sanitaire Installaties;voor al uw loodgieters-,stuc-schilder-,timmer-, en tegelwerk;<empty>;0627884528;Noord-Holland;Amsterdam;Osdorper Ban 687;1069GA Amsterdam;53484509;;Eenmanszaak;—;5½ jaar;17 jaar;000023362073;vakman
Hypotheekkantoor Voorschoten B.V.;Vervoeren  bezorgen  verhuizen ook avond en zaterdag/zondag ;www.deslimmevervoerder.nl;06-29023364;Zuid-Holland;'s-Gravenhage;Eendenlaan 2;2566VZ 's-Gravenhage;28100593;;Niet van toepassing;2;3½ jaar;6 jaar;000017471451;vakman
Studentenkarwei;Tuinman, Bestraten, Stratenmakers Hoveniersbedrijf;www.studentenkarwei.nl;0707112055;Zuid-Holland;'s-Gravenhage;Stamkartplein 218;2521ES 's-Gravenhage;27371148;;VOF;10+;4 jaar;14 jaar;000005453755;vakman
BLR Geveltechniek;Voor al uw autozaken ook inkoop alle sloop voertuigen !;http://pech-hulp.com;0685796952;Noord-Holland;Landsmeer;Buiksloterweg 169;1031DA Amsterdam;57500924;;Eenmanszaak;3;6½ jaar;14 jaar;000026938537;vakman
Airco Service Online;Betaal baar onderhoud voor iedereen;http://aircoserviceonline.nl;06-46035897;Noord-Holland;Heemskerk;Maerten v Heemskerckstr 164;1965GH Heemskerk;34314082;;Eenmanszaak;1;6 jaar;18 jaar;000002322927;vakman
Technisch Handelsbureau Bos;verkoop automateriaal;http://www.bosautomaterialen.nl;0102809980;Zuid-Holland;Rotterdam;Veilingweg 22 -24;3034KB Rotterdam;24080075;;CV;3;5 jaar;60 jaar;000003397602;vakman
RAN MagicTainment;Magisch entertainment voor alle doelgroepen.;http://www.ranmagictainment.com/goochelshop/categories/MagicTainment/;0653622432;Noord-Brabant;Breda;Blauwe Kei 231;4834AT Breda;20079825;;Eenmanszaak;—;9 jaar;11 jaar;000010849270;vakman
PC-Kennis;Computerhulp en netwerkservice voor thuis en het MKB;http://www.pckennis.nl;0646757551;Zuid-Holland;Rotterdam;Elzenoord 67;3079LA Rotterdam;27312937;;Eenmanszaak;1;7 jaar;22 jaar;000003169227;vakman
W. Khan de Sleutelgarage V.O.F.;UW AUTO - ONZE ZORG;http://www.sleutelgarage.nl;013-5424101;Noord-Brabant;Tilburg;Caledoniastraat 7;5047TZ Tilburg;18030887;;VOF;1;7 jaar;30 jaar;000006879659;vakman
Aris Klussenbedrijf;Verhuizingen en transport - 15e p/uur !!!;<empty>;<empty>;Zuid-Holland;Rotterdam;Schilperoortstraat 65 A;3082SR Rotterdam;55511694;;Eenmanszaak;5;3 jaar;10 jaar;000025159887;vakman
Drizi Bouwbedrijf;Wij zorgen voor een totaal en compleet onderhoud;www.drizi-bouwbedrijf.com;0647071412;Zuid-Holland;'s-Gravenhage;Multatulihof 1;2524KA 's-Gravenhage;52660788;;Eenmanszaak;10;4 jaar;18 jaar;000022577858;vakman
Handige Klushulp;Super 8 en videobanden op DVD of harddisk;www.handigeklushulp.nl;0683333381;Zuid-Holland;Katwijk;Jacob Catsstraat 20;2221JA Katwijk Zh;27372084;;Eenmanszaak;1;4½ jaar;5 jaar;000010348972;vakman
Wilbert Celie;Fiat 500 specialist en ook voor alle andere merken;<empty>;06-25271131;Noord-Holland;Lijnden;Weerenweg 35 c;1161AG Zwanenburg;34125754;;VOF;—;9½ jaar;39 jaar;000004334116;vakman
Riemsdijk Totaaltechniek;Uw totaalinstalateur voor  cv, gas, water, elektra;www.riemsdijktotaaltechniek.nl;0318851672;Utrecht;Veenendaal;Munnikenweg 117;3905MG Veenendaal;53473922;;Eenmanszaak;2;3 jaar;17 jaar;000023351993;vakman
Inko;Poolse vakmannen en kwaliteit stucwerk met NOA Garantie!;www.inkostuc.nl;0630689719;Gelderland;Nijmegen;Hogeschoorweg 266;5914CZ Venlo;14105235;;Eenmanszaak;—;6½ jaar;10 jaar;000010510052;vakman
Joep van Gassel Grafisch Ontwerp;Graffiti workshops en graffiti muurschilderingen;http://www.joepvangassel.nl;06-24530203;Noord-Brabant;Tilburg;Sallandstraat 8;5018BV Tilburg;17258252;;Eenmanszaak;1;3½ jaar;21 jaar;000009102949;vakman
<empty>;Ontwikkelen en produceren van maatwerksoftware.;<empty>;045-5324805;Limburg;Landgraaf;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;vakman
Administratiekantoor AdFin;complete boekhouding cq administratie;http://www.adfin-eindhoven.nl;06-38688111;Noord-Brabant;Eindhoven;Bourgognelaan 30;5627KS Eindhoven;17266607;;Eenmanszaak;—;4½ jaar;43 jaar;000004871928;vakman
Den Hollander Grondwerken;Grondwerk straatwerk riolering voor bedrijven en particulier;<empty>;0651586960;Zuid-Holland;Goudswaard;Dorpsstraat 11;3267AE Goudswaard;24409864;;Eenmanszaak;1;7½ jaar;8 jaar;000003876896;vakman
B&W Dienstverlening;Bestelde pakketten van a naar b op een correcte manier .;www.bw-dienstverlening.nl;0622030171;Limburg;Venlo;Geresstraat 169;5922CP Venlo;62034308;;VOF;2;2 weken;7 jaar;000031085474;vakman
<empty>;NU tot 20% korting op uw tuin en bestrating werkzaamheden;www.klussenbedrijfmike.nl;0633027178;Noord-Holland;Uithoorn;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;vakman
The Wall Renovations;Poolse klusser, renovatie en verbouwing.;http://thewallrenovations.nl/;0614305615;Zuid-Holland;'s-Gravenhage;Hollanderstraat 75;2517HJ 's-Gravenhage;27288229;;Eenmanszaak;1;4½ jaar;9 jaar;000005296617;vakman
Voegersbedrijf Spieringhs;Kwaliteit en service staan altijd voorop;www.voegersbedrijfspieringhs.nl;0625175510;Noord-Brabant;Halsteren;Buurtweg 18;4661LC Halsteren;20122313;;BV;4;2 maanden;27 jaar;000013528351;vakman
Schildersbedrijf RRY;voor al uw schilderwerk binnen en buiten.;www.sk-rry.nl;0652430013;Zuid-Holland;Rotterdam;Rietstapstraat 23;3056LS Rotterdam;61775592;;Eenmanszaak;3;4 weken;7 jaar;000030848059;vakman
Dorgelo Tegelzetbedrijf;Uw badkamer of vloeren,strak verwerkt en op maat gemaakt.;<empty>;0650220214;Overijssel;Gramsbergen;Loozermars-Noord 68;7783EP Gramsbergen;05082420;;Eenmanszaak;2;3 maanden;30 jaar;000007059469;vakman
<empty>;masseuse / therapeute;www.desfleurs.nl;0611924778;Noord-Brabant;Eindhoven;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;vakman
KDV Bloom VOF;Flexibele en vertrouwde opvang in Apeldoorn;http://www.kinderopvangbloom.nl;06-17750939;Gelderland;Apeldoorn;Anna Bijnsring 208;7321HN Apeldoorn;57876169;;VOF;2;4 weken;13 jaar;000027274640;vakman
